Terror - Toxic,corr coeff,p-value
130 noob,0.632455532033676,0.1778078083562211
spoil game,0.632455532033676,0.1778078083562211
snipe dickhead,0.632455532033676,0.1778078083562211
brian bad play,0.632455532033676,0.1778078083562211
brian bad,0.632455532033676,0.1778078083562211
smell nasty,0.632455532033676,0.1778078083562211
terroriser smell,0.632455532033676,0.1778078083562211
scumbag spoil game,0.632455532033676,0.1778078083562211
terroriser smell nasty,0.632455532033676,0.1778078083562211
stream snipe,0.632455532033676,0.1778078083562211
