usa_news - Toxic,corr coeff,p-value
hunter crack,0.7745966692414834,0.0704839969102199
rose red kamalas,0.7745966692414834,0.0704839969102199
satanist pedophiles,0.7745966692414834,0.0704839969102199
satanist pedophiles biden,0.7745966692414834,0.0704839969102199
dogma corruption,0.7745966692414834,0.0704839969102199
dogma corruption live,0.7745966692414834,0.0704839969102199
black dementia joe,0.7745966692414834,0.0704839969102199
black dementia,0.7745966692414834,0.0704839969102199
bin biden crime,0.7745966692414834,0.0704839969102199
hunter bidens,0.7745966692414834,0.0704839969102199
