gaming channels,Toxic
white boy,1.4842143510455077
ad blocker,1.0
die lol,1.0
play guy,1.0
blm suck,1.0
simpe politic,1.0
stream snipe,1.0
chat retard,1.0
death blm,1.0
tik tok,0.7973058196782061
cluster fuck,0.7071067811865476
fuck lol,0.7071067811865476
poor kid talk,0.7071067811865476
poor kid,0.7071067811865476
phasmo audio lot,0.7071067811865476
phasmo audio,0.7071067811865476
play game terrible,0.631510282927924
bad play,0.6071542045609554
old racist,0.582826809550493
9yr old,0.582826809550493
